date_id,date
1327,19-Aug-11
1328,20-Aug-11
1329,21-Aug-11
1330,22-Aug-11
1331,23-Aug-11
1332,24-Aug-11
1333,25-Aug-11
1334,26-Aug-11
1335,27-Aug-11
1336,28-Aug-11
1337,29-Aug-11
1338,30-Aug-11
1339,31-Aug-11
1340,1-Sep-11
1341,2-Sep-11
1342,3-Sep-11
1343,4-Sep-11
1344,5-Sep-11
1345,6-Sep-11
1346,7-Sep-11
1347,8-Sep-11
1348,9-Sep-11
1349,10-Sep-11
1350,11-Sep-11
1351,12-Sep-11
1352,13-Sep-11
1353,14-Sep-11
1354,15-Sep-11
1355,16-Sep-11
1356,17-Sep-11
1357,18-Sep-11
1358,19-Sep-11
1359,20-Sep-11
1360,21-Sep-11
1361,22-Sep-11
1362,23-Sep-11
1363,24-Sep-11
1364,25-Sep-11
1365,26-Sep-11
1366,27-Sep-11
1367,28-Sep-11
1368,29-Sep-11
1369,30-Sep-11
1370,1-Oct-11
1371,2-Oct-11
1372,3-Oct-11
1373,4-Oct-11
1374,5-Oct-11
1375,6-Oct-11
1376,7-Oct-11
1377,8-Oct-11
1378,9-Oct-11
1379,10-Oct-11
1380,11-Oct-11
1381,12-Oct-11
1382,13-Oct-11
